Filename,Detected_Grid,Score_2x2,Score_4x4,Score_8x8
0.jpg,4x4,20905.25,29762.09,5673.17
1.jpg,4x4,34775.74,34665.12,3653.18
10.jpg,4x4,29895.51,23691.04,4236.33
100.jpg,4x4,22131.68,20890.66,2861.12
101.jpg,4x4,27305.37,18281.25,2920.89
102.jpg,4x4,22897.13,21767.01,3523.77
103.jpg,4x4,23728.24,22855.89,5830.5
104.jpg,4x4,28635.7,30017.49,4335.86
105.jpg,4x4,30633.11,22534.04,1476.87
106.jpg,4x4,22837.38,18822.4,7787.34
107.jpg,4x4,26225.03,30297.09,2667.78
108.jpg,4x4,38874.3,28604.74,3272.67
109.jpg,4x4,18120.41,21384.11,6289.65
11.jpg,4x4,25045.89,20592.99,6352.75
12.jpg,4x4,24517.22,32088.79,3185.59
13.jpg,4x4,15342.95,20695.01,4650.58
14.jpg,4x4,11674.35,16974.37,2723.97
15.jpg,4x4,25631.77,20215.71,5816.49
16.jpg,4x4,15115.15,16292.82,4703.66
17.jpg,4x4,24493.22,25725.02,5786.35
18.jpg,4x4,20038.1,19054.48,6744.73
19.jpg,4x4,19080.5,23465.21,3111.79
2.jpg,4x4,24104.52,20434.05,2855.76
20.jpg,4x4,19300.27,27589.36,6750.61
21.jpg,4x4,27048.12,23000.81,967.86
22.jpg,4x4,28870.2,22694.36,3311.0
23.jpg,4x4,22019.57,18184.17,5672.84
24.jpg,4x4,32310.7,31533.21,5002.17
25.jpg,2x2,8335.19,4463.27,2996.34
26.jpg,4x4,27646.02,22502.66,4573.13
27.jpg,4x4,29102.56,30026.21,4845.57
28.jpg,4x4,28849.94,26324.74,4572.41
29.jpg,4x4,32550.56,21183.86,4756.59
3.jpg,4x4,28315.62,28635.33,4831.48
30.jpg,4x4,23432.93,22687.87,2854.04
31.jpg,4x4,17673.01,18197.32,2895.8
32.jpg,4x4,27913.76,17980.26,1595.61
33.jpg,4x4,26368.43,26633.19,2382.36
34.jpg,4x4,30276.18,27589.81,6511.66
35.jpg,4x4,28235.08,29231.05,6151.15
36.jpg,4x4,28962.89,28987.92,5785.91
37.jpg,4x4,10655.55,15864.03,4946.89
38.jpg,4x4,20846.32,35274.85,2655.02
39.jpg,4x4,32042.89,33816.74,3121.34
4.jpg,4x4,34783.33,26730.92,4323.15
40.jpg,4x4,12064.49,14136.44,3701.46
41.jpg,4x4,20018.83,18617.75,4326.6
42.jpg,8x8,22411.3,26116.09,15562.34
43.jpg,4x4,36335.33,35039.51,2976.56
44.jpg,4x4,28383.51,19641.86,4709.96
45.jpg,4x4,32052.73,19935.15,3157.27
46.jpg,4x4,21766.86,20734.97,3665.92
47.jpg,4x4,23230.4,33126.23,2212.62
48.jpg,4x4,19988.43,28297.02,2955.71
49.jpg,4x4,26566.31,22987.36,4575.24
5.jpg,4x4,29992.33,30728.61,3884.46
50.jpg,4x4,21701.94,24634.65,3943.83
51.jpg,4x4,21680.02,19457.19,5406.51
52.jpg,4x4,33955.73,27875.12,3837.6
53.jpg,4x4,12629.12,33705.1,650.1
54.jpg,4x4,4988.36,11976.35,3056.96
55.jpg,4x4,31109.28,31130.81,1220.67
56.jpg,4x4,26071.31,14479.61,3324.4
57.jpg,4x4,33072.07,22261.89,6072.62
58.jpg,4x4,27443.88,19016.36,5560.7
59.jpg,4x4,21032.26,19055.48,10802.14
6.jpg,4x4,25690.44,19549.73,5411.29
60.jpg,4x4,20047.82,23277.71,2232.82
61.jpg,4x4,14518.69,18103.96,6621.65
62.jpg,4x4,29697.31,28586.46,6804.43
63.jpg,4x4,29194.42,36018.02,9920.37
64.jpg,4x4,20842.19,21944.85,8016.52
65.jpg,4x4,23666.11,30180.33,12780.24
66.jpg,4x4,41504.8,26656.2,2965.5
67.jpg,4x4,31500.2,28419.1,5819.88
68.jpg,4x4,24509.51,25211.52,7739.11
69.jpg,4x4,31023.48,28092.76,3530.38
7.jpg,4x4,22450.88,21815.28,6419.34
70.jpg,4x4,35469.7,28416.19,4455.2
71.jpg,4x4,18890.78,16433.63,7200.7
72.jpg,4x4,21477.34,24685.29,1843.88
73.jpg,4x4,24732.76,26184.12,5731.76
74.jpg,4x4,26415.79,24411.49,5230.02
75.jpg,4x4,32687.34,11087.44,2345.29
76.jpg,4x4,24376.22,32453.99,3408.7
77.jpg,4x4,22848.6,21587.24,6311.61
78.jpg,4x4,21056.35,25083.62,4561.71
79.jpg,4x4,33423.86,30195.49,5540.22
8.jpg,4x4,34362.44,23696.0,5294.53
80.jpg,4x4,29536.06,31530.15,3481.18
81.jpg,4x4,27203.1,21879.34,5382.79
82.jpg,4x4,23020.31,19295.19,3781.9
83.jpg,4x4,19621.87,24424.82,8116.2
84.jpg,4x4,28476.62,24616.15,5645.33
85.jpg,4x4,24580.39,21911.22,6289.13
86.jpg,4x4,25029.7,30077.59,4438.32
87.jpg,4x4,25211.8,22678.66,2812.86
88.jpg,4x4,32863.2,28314.93,5307.92
89.jpg,4x4,38615.46,36845.63,5570.73
9.jpg,4x4,29978.42,22193.83,3683.2
90.jpg,4x4,21270.25,21184.68,4579.11
91.jpg,4x4,32999.91,29123.99,11077.37
92.jpg,4x4,24823.86,15714.5,3402.0
93.jpg,4x4,18988.68,23243.66,4391.38
94.jpg,4x4,24383.38,26621.36,11437.38
95.jpg,4x4,28998.56,33238.18,4487.52
96.jpg,4x4,24790.72,22846.54,7169.06
97.jpg,4x4,22041.38,26160.99,4437.53
98.jpg,4x4,27103.22,25340.96,3624.67
99.jpg,4x4,23285.14,27398.78,3391.38
